"Stock","MAE","MRE","MPE","RMSE","MAE_rank","absMAE_rank","absMPE_rank","RMSE_rank","Average_rank","Overall_rank","rel_rank_MAE","rel_rank_absMAE","rel_rank_absMPE","rel_rank_RMSE"
"Late Shuswap",3.37461722996936,3.18332405497004,230.346915019165,9.13793992639983,39,41,39,42,40.25,41,0.928571428571429,0.976190476190476,0.928571428571429,1
"Late Shuswap",3.81871423759949,3.2539489439336,212.405531462987,8.28325577635457,41,42,38,41,40.5,42,0.976190476190476,1,0.904761904761905,0.976190476190476
"Birkenhead",0.0586790588346811,-0.0268967348560766,1.44034008677868,0.0841468998977849,1,3,2,5,2.75,1,0.0238095238095238,0.0714285714285714,0.0476190476190476,0.119047619047619
"Birkenhead",0.0642179932705605,0.0191290165374339,1.86774231035007,0.0836090597065795,3,2,3,4,3,2,0.0714285714285714,0.0476190476190476,0.0714285714285714,0.0952380952380952
"Birkenhead",0.0605878555503569,0.00358188161638903,0.824290875326608,0.107473104440532,2,1,1,9,3.25,3,0.0476190476190476,0.0238095238095238,0.0238095238095238,0.214285714285714
"Birkenhead",0.0655071866376258,0.0478416195982611,2.91300160748102,0.0772905085271202,4,4,5,1,3.5,4,0.0952380952380952,0.0952380952380952,0.119047619047619,0.0238095238095238
"Birkenhead",0.0687996924649766,0.047997171343078,3.17256169182798,0.0811763472617828,6,5,8,2,5.25,5,0.142857142857143,0.119047619047619,0.19047619047619,0.0476190476190476
"Birkenhead",0.0676809079120016,0.0650223241050619,3.0759033327477,0.0868506084117339,5,8,6,6,6.25,6,0.119047619047619,0.19047619047619,0.142857142857143,0.142857142857143
"Birkenhead",0.0742160204947169,0.057258882060023,3.47659536210808,0.0828760117599968,8,6,9,3,6.5,7,0.19047619047619,0.142857142857143,0.214285714285714,0.0714285714285714
"Birkenhead",0.0693713639344176,0.0682538187228912,3.08847553367073,0.0896138456993988,7,9,7,7,7.5,8,0.166666666666667,0.214285714285714,0.166666666666667,0.166666666666667
"Birkenhead",0.0854742182766108,0.0603738273878287,3.57092633318378,0.10512261117141,9,7,10,8,8.5,9,0.214285714285714,0.166666666666667,0.238095238095238,0.19047619047619
"Birkenhead",0.121991214321384,0.070813631616389,2.58767861340265,0.156194279546174,12,10,4,15,10.25,10,0.285714285714286,0.238095238095238,0.0952380952380952,0.357142857142857
"Birkenhead",0.113158336052111,0.0931898940771715,4.5146190324253,0.14207635651076,11,12,14,10,11.75,11,0.261904761904762,0.285714285714286,0.333333333333333,0.238095238095238
"Birkenhead",0.109308215868271,0.0929216732830557,5.87930127429015,0.14538806435962,10,11,20,12,13.25,12,0.238095238095238,0.261904761904762,0.476190476190476,0.285714285714286
